summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,density,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
14,55,85.78571429,1.24,3.214285714,0.307827789,8.94E-05,2424,6,20.325,0.135,0.081,10.765,-0.756,0.251,42.184,20.222
19,49.36842105,3.210526316,2.062352941,12.52631579,0.560922855,7.98E-05,2199,5,22.007,0.148,0.088,10.174,-0.748,0.554,41.377,20.392
5,131.8,3.2,1.5775,3.4,0.453150685,2.79E-05,1150,3,30.111,0.17,0.092,19.895,-0.827,1.458,42.445,34.818
9,102.8888889,1.777777778,1.152,114.4444444,0.286149163,5.45E-05,1041,3,31.007,0.16,0.099,16.599,-0.148,1.198,43.828,40.547
28,81.82142857,4.785714286,2.053913043,12.35714286,0.429158513,0.000182727,2632,6,18.91,0.105,0.056,5.32,-0.642,0.604,38.412,37.022
9,80.44444444,2.666666667,2.284,10,0.829223744,5.35E-05,3158,7,15.506,0.099,0.041,16.48,-0.798,-0.002,33.44,31.8
4,69.75,5,0.14,1,0.425342466,1.05E-05,1469,4,27.517,0.174,0.097,16.035,-0.487,0.752,48.772,20.381
10,102.9,2.9,2.164,4.4,0.484109589,4.04E-05,2561,6,19.417,0.106,0.068,15.766,-0.542,0.389,36.466,31.57
5,74.2,3.6,1.47,1.6,0.422465753,9.88E-06,1684,4,25.937,0.154,0.091,14.169,-0.322,0.794,44.541,26.451
7,1133.571429,3,0.77,3.142857143,0.383170254,9.56E-06,2419,6,20.361,0.139,0.074,9.795,-0.534,0.26,42.652,20.86
2,31,2,4.69,1,0.08630137,8.25E-06,2389,5,20.597,0.113,0.074,13.058,-0.305,0.388,42.353,22.902
33,79.3030303,2.666666667,1.178928571,15.27272727,0.2124533,0.000308906,1765,4,25.279,0.18,0.112,10.55,-0.273,0.022,38.682,33.291
22,145.4090909,2.409090909,0.782307692,12.5,0.209339975,0.00021261,2185,5,22.1,0.119,0.088,14.257,-0.442,0.071,43.475,29.998
41,92.26829268,2.390243902,1.088787879,56.73170732,0.433745406,0.00026705,2559,6,19.424,0.12,0.085,7.846,-0.282,0.275,32.896,30.705
34,95.14705882,6.382352941,1.353461538,7.882352941,0.278565673,0.000178697,1209,3,29.612,0.152,0.103,13.27,-0.18,1.099,35.514,51.473
2,59,2,0.465,1.5,0,1.02E-05,2282,5,21.407,0.13,0.075,9.764,-0.412,0.6,40.929,26.136
40,93.75,2.525,1.341764706,29.275,0.286575342,0.000347375,1120,3,30.368,0.169,0.106,11.695,-0.182,1.335,39.388,39.175
35,82.08571429,11.77142857,1.893461538,69.62857143,0.241017613,0.000366899,2144,5,22.321,0.145,0.104,7.703,-0.559,0.467,37.555,26.34
48,114.875,3.833333333,1.308285714,70,0.228652968,0.000627123,2104,5,22.673,0.144,0.083,9.603,-0.11,0.553,36.843,30.272
31,92.35483871,3.838709677,0.775833333,1.258064516,0.15483871,0.000289062,843,2,32.72,0.203,0.115,9.389,0.123,1.316,43.175,31.415
49,128.6734694,3.775510204,0.945581395,26.26530612,0.368017892,0.00043777,2910,7,17.113,0.11,0.081,4.256,-0.691,0.098,32.705,31.185
19,56.89473684,4.421052632,0.776363636,4.421052632,0.309589041,0.000132318,1272,3,29.062,0.158,0.109,16.445,0.154,0.693,43.593,32.336
13,59,3.846153846,0.611428571,1.538461538,0.558482613,6.07E-05,2335,5,21.039,0.145,0.087,15.32,-0.452,-0.09,36.707,27.362
27,77.11111111,2.555555556,1.262105263,9.555555556,0.3543379,0.000131469,3086,7,15.947,0.097,0.059,5.356,-0.992,0.49,35.161,27.52
19,83.36842105,2.789473684,1.242,4.894736842,0.401009373,0.000195446,919,2,32.007,0.165,0.096,16.061,-0.228,1.319,43.394,46.48
20,74.6,2.25,0.794166667,1.25,0.148767123,0.000171669,1990,5,23.465,0.14,0.099,7.319,0.126,0.426,38.33,26.954
22,67.36363636,4.363636364,0.82375,13.86363636,0.412826899,0.000126947,1568,4,26.806,0.149,0.121,6.653,-0.225,1.123,37.942,27.73
28,83.53571429,2.892857143,1.377083333,18.71428571,0.557436399,0.000248918,2182,5,22.118,0.145,0.085,5.836,-0.033,0.42,37.806,28.022
33,109.1212121,4.636363636,1.158214286,10.6969697,0.447820672,0.000156847,2608,6,19.077,0.102,0.082,6.317,-0.556,0.501,37.942,27.141
32,73.75,2.8125,1.031538462,9.375,0.401712329,0.000278814,1829,4,24.708,0.154,0.108,4.909,-0.029,0.65,40.958,22.412
5,36.8,1.8,0.794,1.8,0.672328767,2.67E-05,1934,4,23.892,0.182,0.109,13.906,-0.428,0.08,38.353,20.612
6,51.33333333,2.5,0.606666667,11.66666667,0.166210046,2.87E-05,3257,7,14.793,0.084,0.046,9.367,-0.596,-0.072,40.712,22.288
5,45.8,5,1.694,3.8,0.076164384,2.46E-05,2768,6,18.175,0.124,0.072,7.053,-0.438,0.151,38.417,21.54
15,85.8,1.266666667,1.076153846,11.6,0.720365297,1.87E-05,3352,7,14.257,0.034,0.021,3.604,-0.584,-0.039,69.884,21.768
3,49.33333333,1,0.36,2,0.665753425,2.28E-05,1912,4,24.088,0.121,0.094,15.966,-0.581,0.117,52.435,20.912
5,37.4,2.4,1.98,8.2,0.767123288,1.42E-05,2157,5,22.247,0.128,0.095,9.079,-0.566,0.86,35.957,27.757
6,62,1.166666667,0.46,2.166666667,0.297260274,2.19E-05,2872,6,17.369,0.081,0.043,8.469,-1.135,0.428,44.296,34.881
3,32,1.333333333,3.435,11.33333333,0.810045662,1.03E-05,2988,7,16.509,0.099,0.066,7.746,-0.96,0.456,35.147,25.567
26,72.88461538,1.846153846,1.350526316,4.653846154,0.470073762,7.80E-05,1293,3,28.89,0.183,0.128,11.311,-0.298,0.83,43.665,23.6
50,88.8,2.8,1.115365854,2.8,0.228657534,0.00044304,1291,3,28.906,0.17,0.12,6.955,-0.045,0.498,41.854,43.379
64,132.53125,5.859375,1.181636364,71.546875,0.319905822,0.000143387,2453,6,20.094,0.136,0.089,4.666,-0.821,0.962,27.207,28.869
85,169.9411765,2.235294118,1.138333333,10.43529412,0.446156326,0.000426967,2295,5,21.296,0.105,0.091,3.402,-0.619,0.622,36.034,41.447
51,108.9411765,4.352941176,1.155526316,3.960784314,0.244963739,0.00033377,2271,5,21.525,0.125,0.089,8.761,-0.711,0.364,40.41,32.814
19,75.68421053,4.210526316,1.209230769,2.947368421,0.373179524,5.47E-05,1663,4,26.149,0.182,0.108,16.824,-0.566,0.59,40.373,23.459
4,33.25,2.75,2.07,1,0.306164384,1.37E-05,2581,6,19.307,0.114,0.077,15.004,-0.63,0.137,41.04,19.86
1,30,2,0.16,1,0.947945205,3.73E-06,2623,6,18.959,0.136,0.083,7.512,-0.143,0.035,33.881,22.44
